日期,商品訪客數,商品頁瀏覽數,被瀏覽商品數,跳出商品的不重複訪客,商品頁的跳出率,搜尋點擊,商品按讚數,商品頁訪客數(加入購物車),加入購物車(件數),加入購物車轉換率,買家(全部訂單),數量(全部訂單),被購買的商品,銷售額(全部訂單) (TWD),轉換率(全部訂單),買家(可出貨訂單),數量(可出貨訂單),可出貨商品數量,銷售額(可出貨訂單) (TWD),轉換率(可出貨訂單),下單到可出貨轉換率
2023-05-17 00:00,29,129,55,2,6.90%,7,3,8,11,27.59%,1,4,3,960,3.45%,1,4,3,960,3.45%,100.00%
2023-05-17 01:00,22,58,33,5,22.73%,4,1,1,2,4.55%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-17 02:00,16,59,26,3,18.75%,2,1,0,0,0.00%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-17 03:00,8,21,10,2,25.00%,1,1,1,1,12.50%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-17 04:00,7,10,7,2,28.57%,0,0,0,0,0.00%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-17 05:00,4,7,4,1,25.00%,3,0,0,0,0.00%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-17 06:00,9,54,40,2,22.22%,4,0,3,3,33.33%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-17 07:00,17,56,24,4,23.53%,4,1,0,0,0.00%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-17 08:00,13,37,17,3,23.08%,0,0,1,1,7.69%,1,3,2,980,7.69%,1,3,2,980,7.69%,100.00%
2023-05-17 09:00,12,24,15,3,25.00%,4,1,0,0,0.00%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-17 10:00,19,60,34,2,10.53%,5,3,0,0,0.00%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-17 11:00,20,95,41,3,15.00%,8,2,4,4,20.00%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-17 12:00,30,78,37,8,26.67%,3,0,1,1,3.33%,1,3,1,880,3.33%,1,3,1,880,3.33%,100.00%
2023-05-17 13:00,15,26,14,2,13.33%,2,0,3,3,20.00%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-17 14:00,22,47,31,11,50.00%,4,0,1,1,4.55%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-17 15:00,26,49,25,11,42.31%,8,0,0,0,0.00%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-17 16:00,22,45,25,5,22.73%,7,0,0,0,0.00%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-17 17:00,22,64,35,6,27.27%,5,0,4,4,18.18%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-17 18:00,21,97,47,4,19.05%,5,0,3,6,14.29%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-17 19:00,23,78,34,6,26.09%,8,0,5,5,21.74%,1,2,1,580,4.35%,1,2,1,580,4.35%,100.00%
2023-05-17 20:00,27,91,41,9,33.33%,11,2,1,2,3.70%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-17 21:00,33,148,59,5,15.15%,7,1,5,5,15.15%,1,3,1,810,3.03%,1,3,1,810,3.03%,100.00%
2023-05-17 22:00,39,125,44,8,20.51%,11,6,7,11,17.95%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-17 23:00,36,108,52,9,25.00%,8,1,4,4,11.11%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
