2023-05-16,商品ID,商品名稱,商品訪客數,商品頁瀏覽數,跳出商品的不重複訪客,商品頁的跳出率,搜尋點擊,商品按讚數,商品頁訪客數(加入購物車),加入購物車(件數),加入購物車轉換率,買家(全部訂單),數量(全部訂單),銷售額(全部訂單) (TWD),轉換率(全部訂單),買家(可出貨訂單),數量(可出貨訂單),銷售額(可出貨訂單) (TWD),轉換率(可出貨訂單),全部訂單到可出貨訂單的轉換率
2023-05-16,10155555266,"宅栽室內盆栽專用介質,觀葉植物介質",58,140,10,17.24%,11,1,13,25,22.41%,3,3,920,5.17%,3,3,920,5.17%,100.00%
2023-05-16,23907869819,🌑🌑🌑黑巧克力椒草🌑🌑🌚,11,29,4,36.36%,3,0,1,1,9.09%,1,1,480,9.09%,1,1,480,9.09%,100.00%
2023-05-16,21512377618,Anthurium polyschistum 大麻葉花燭 | 3吋小品植物 | 觀葉植物,36,69,14,38.89%,3,0,1,1,2.78%,1,1,310,2.78%,1,1,310,2.78%,100.00%
2023-05-16,18012375910,Syngonium 'Batik'蠟染合果芋,11,16,3,27.27%,3,0,1,1,9.09%,1,1,660,9.09%,1,1,660,9.09%,100.00%
2023-05-16,16972056278,Philodendron mayoi,20,54,2,10.00%,0,1,1,1,5.00%,1,1,700,5.00%,0,0,0,0.00%,0.00%
2023-05-16,10523450753,Kaempferia sp.羽毛孔雀薑 🥔塊莖販售🥔,8,9,1,12.50%,1,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-16,16884314245,Heliconia ‘Variegated Nickeriensis' 斑葉鳥蕉,12,23,2,16.67%,3,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-16,22034664139,耐低光的酒紅色室內植物 美葉火筒樹Leea guineensis 'Burgundy',3,2,3,100.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-16,17568677980,Monstera adansonii ‘Swiss Cheese Vine’ 瑞士起司窗孔龜背芋｜3吋小品,7,6,2,28.57%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-16,7114476913,Aglaonema ‘Silver Rice’ 銀稻粗肋草,7,9,0,0.00%,2,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-16,20112370953,Goeppertia 'Misto' 歐蕾竹芋,1,1,0,0.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-16,22606810933,御所車虎耳草 斑葉虎耳草,3,3,0,0.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-16,18009147417,Anthurium crystallinum x Anthurium magnificum水晶華麗交種,0,0,0,0.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-16,19870726848,Rhaphidophora​ tenuis​ 裂葉崖角藤,6,6,2,33.33%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-16,22615214347,Hemigraphis ‘Dragon's Tongue’ 龍舌頭半插花,4,4,1,25.00%,0,1,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
