date,shop_name,daily_sales
2021-04-26,宅栽工作室,908.0
2021-04-27,宅栽工作室,1060.0
2021-04-28,宅栽工作室,5440.0
2021-04-29,宅栽工作室,4765.0
2021-04-30,宅栽工作室,860.0
2021-05-01,宅栽工作室,0.0
2021-05-02,宅栽工作室,4780.0
2021-05-03,宅栽工作室,0.0
2021-05-04,宅栽工作室,1660.0
2021-05-05,宅栽工作室,4150.0
2021-05-06,宅栽工作室,0.0
2021-05-07,宅栽工作室,0.0
2021-05-08,宅栽工作室,0.0
2021-05-09,宅栽工作室,460.0
2021-05-10,宅栽工作室,0.0
2021-05-11,宅栽工作室,2620.0
2021-05-12,宅栽工作室,1260.0
2021-05-13,宅栽工作室,0.0
2021-05-14,宅栽工作室,0.0
2021-05-15,宅栽工作室,460.0
2021-05-16,宅栽工作室,0.0
2021-05-17,宅栽工作室,0.0
2021-05-18,宅栽工作室,2900.0
2021-05-19,宅栽工作室,0.0
2021-05-20,宅栽工作室,0.0
2021-05-21,宅栽工作室,0.0
2021-05-22,宅栽工作室,6040.0
2021-05-23,宅栽工作室,3180.0
2021-05-24,宅栽工作室,2580.0
2021-05-25,宅栽工作室,3319.0
2021-05-26,宅栽工作室,0.0
2021-05-27,宅栽工作室,1060.0
2021-05-28,宅栽工作室,0.0
2021-05-29,宅栽工作室,2720.0
2021-05-30,宅栽工作室,1660.0
2021-05-31,宅栽工作室,2061.0
2021-06-01,宅栽工作室,2720.0
2021-06-02,宅栽工作室,960.0
2021-06-03,宅栽工作室,0.0
2021-06-04,宅栽工作室,0.0
2021-06-05,宅栽工作室,0.0
2021-06-06,宅栽工作室,0.0
2021-06-07,宅栽工作室,0.0
2021-06-08,宅栽工作室,0.0
2021-06-09,宅栽工作室,0.0
2021-06-10,宅栽工作室,0.0
2021-06-11,宅栽工作室,0.0
2021-06-12,宅栽工作室,0.0
2021-06-13,宅栽工作室,0.0
2021-06-14,宅栽工作室,0.0
2021-06-15,宅栽工作室,5050.0
2021-06-16,宅栽工作室,5040.0
2021-06-17,宅栽工作室,3180.0
2021-06-18,宅栽工作室,2010.0
2021-06-19,宅栽工作室,0.0
2021-06-20,宅栽工作室,0.0
2021-06-21,宅栽工作室,0.0
2021-06-22,宅栽工作室,410.0
2021-06-23,宅栽工作室,5171.0
2021-06-24,宅栽工作室,6860.0
2021-06-25,宅栽工作室,1820.0
2021-06-26,宅栽工作室,3580.0
2021-06-27,宅栽工作室,3180.0
2021-06-28,宅栽工作室,6140.0
2021-06-29,宅栽工作室,0.0
2021-06-30,宅栽工作室,976.0
2021-07-01,宅栽工作室,0.0
2021-07-02,宅栽工作室,1610.0
2021-07-03,宅栽工作室,0.0
2021-07-04,宅栽工作室,2980.0
2021-07-05,宅栽工作室,0.0
2021-07-06,宅栽工作室,1120.0
2021-07-07,宅栽工作室,1100.0
2021-07-08,宅栽工作室,9092.0
2021-07-09,宅栽工作室,2380.0
2021-07-10,宅栽工作室,2920.0
2021-07-11,宅栽工作室,0.0
2021-07-12,宅栽工作室,1120.0
2021-07-13,宅栽工作室,0.0
2021-07-14,宅栽工作室,660.0
2021-07-15,宅栽工作室,720.0
2021-07-16,宅栽工作室,2430.0
2021-07-17,宅栽工作室,1604.0
2021-07-18,宅栽工作室,3200.0
2021-07-19,宅栽工作室,6082.0
2021-07-20,宅栽工作室,2880.0
2021-07-21,宅栽工作室,20095.0
2021-07-22,宅栽工作室,8435.0
2021-07-23,宅栽工作室,1160.0
2021-07-24,宅栽工作室,1095.0
2021-07-25,宅栽工作室,8910.0
2021-07-26,宅栽工作室,3940.0
2021-07-27,宅栽工作室,3700.0
2021-07-28,宅栽工作室,5670.0
2021-07-29,宅栽工作室,10436.0
2021-07-30,宅栽工作室,2771.0
2021-07-31,宅栽工作室,4897.0
2021-08-01,宅栽工作室,1860.0
2021-08-02,宅栽工作室,2540.0
2021-08-03,宅栽工作室,6920.0
2021-08-04,宅栽工作室,2019.0
2021-08-05,宅栽工作室,5470.0
2021-08-06,宅栽工作室,2520.0
2021-08-07,宅栽工作室,3340.0
2021-08-08,宅栽工作室,13601.0
2021-08-09,宅栽工作室,2750.0
2021-08-10,宅栽工作室,2900.0
2021-08-11,宅栽工作室,0.0
2021-08-12,宅栽工作室,5270.0
2021-08-13,宅栽工作室,4200.0
2021-08-14,宅栽工作室,360.0
2021-08-15,宅栽工作室,660.0
2021-08-16,宅栽工作室,2180.0
2021-08-17,宅栽工作室,5840.0
2021-08-18,宅栽工作室,1035.0
2021-08-19,宅栽工作室,2320.0
2021-08-20,宅栽工作室,0.0
2021-08-21,宅栽工作室,920.0
2021-08-22,宅栽工作室,460.0
2021-08-23,宅栽工作室,760.0
2021-08-24,宅栽工作室,4690.0
2021-08-25,宅栽工作室,5170.0
2021-08-26,宅栽工作室,1410.0
2021-08-27,宅栽工作室,10641.0
2021-08-28,宅栽工作室,7315.0
2021-08-29,宅栽工作室,3890.0
2021-08-30,宅栽工作室,6320.0
2021-08-31,宅栽工作室,1380.0
2021-09-01,宅栽工作室,7340.0
2021-09-02,宅栽工作室,4310.0
2021-09-03,宅栽工作室,6450.0
2021-09-04,宅栽工作室,2290.0
2021-09-05,宅栽工作室,2430.0
2021-09-06,宅栽工作室,6915.0
2021-09-07,宅栽工作室,1370.0
2021-09-08,宅栽工作室,1690.0
2021-09-09,宅栽工作室,1650.0
2021-09-10,宅栽工作室,1118.0
2021-09-11,宅栽工作室,0.0
2021-09-12,宅栽工作室,560.0
2021-09-13,宅栽工作室,6510.0
2021-09-14,宅栽工作室,3750.0
2021-09-15,宅栽工作室,2430.0
2021-09-16,宅栽工作室,460.0
2021-09-17,宅栽工作室,770.0
2021-09-18,宅栽工作室,5828.0
2021-09-19,宅栽工作室,2698.0
2021-09-20,宅栽工作室,2980.0
2021-09-21,宅栽工作室,2120.0
2021-09-22,宅栽工作室,4091.0
2021-09-23,宅栽工作室,4800.0
2021-09-24,宅栽工作室,4780.0
2021-09-25,宅栽工作室,3447.0
2021-09-26,宅栽工作室,1370.0
2021-09-27,宅栽工作室,1260.0
2021-09-28,宅栽工作室,6189.0
