date_time,product_page_views,step_times,product_page_bounce_rate,unique_visitors,new_visitors,return_visitors,new_fans,search_clicks,product_likes,sale_products,total_sales
2021-04-26,336,123,0.4706,34,22,12,1,0.0,1.0,3.0,908.0
2021-04-27,365,69,0.5254,59,45,14,1,0.0,3.0,1.0,1060.0
2021-04-29,237,71,0.4146,41,33,8,2,0.0,4.0,6.0,4765.0
2021-04-30,255,69,0.5,52,38,14,2,0.0,3.0,2.0,860.0
2021-05-01,179,63,0.5862,29,18,11,1,0.0,0.0,0.0,0.0
2021-05-02,182,71,0.5333,45,22,23,3,0.0,1.0,6.0,4780.0
2021-05-03,289,68,0.5667,60,37,23,5,0.0,2.0,0.0,0.0
2021-05-04,239,47,0.6232,69,46,23,5,0.0,0.0,2.0,1660.0
2021-05-06,213,50,0.68,50,34,16,1,0.0,0.0,0.0,0.0
2021-05-07,261,66,0.4918,61,45,16,1,0.0,0.0,0.0,0.0
2021-05-08,170,73,0.4722,36,20,16,4,0.0,1.0,0.0,0.0
2021-05-09,128,53,0.5676,37,22,15,4,0.0,0.0,1.0,460.0
2021-05-10,135,54,0.5,30,23,7,2,0.0,2.0,0.0,0.0
2021-05-11,179,52,0.5789,38,26,12,2,0.0,1.0,2.0,2620.0
2021-05-13,114,82,0.4857,35,23,12,3,0.0,1.0,0.0,0.0
2021-05-14,227,57,0.5,58,40,18,7,0.0,2.0,0.0,0.0
2021-05-15,273,62,0.7273,55,38,17,6,0.0,1.0,1.0,460.0
2021-05-16,217,67,0.525,40,24,16,2,0.0,1.0,0.0,0.0
2021-05-17,200,81,0.6486,37,22,15,0,0.0,0.0,0.0,0.0
2021-05-20,241,56,0.4925,67,48,19,2,0.0,1.0,0.0,0.0
2021-05-21,415,66,0.6019,103,75,28,8,0.0,0.0,0.0,0.0
2021-05-22,859,70,0.4583,168,123,45,15,0.0,8.0,6.0,6040.0
2021-05-23,712,76,0.5161,124,98,26,12,0.0,3.0,3.0,3180.0
2021-05-24,362,70,0.5844,77,62,15,4,0.0,3.0,3.0,2580.0
2021-05-25,354,56,0.6667,93,75,18,7,0.0,1.0,5.0,3319.0
2021-05-27,367,48,0.5165,91,71,20,2,0.0,2.0,1.0,1060.0
2021-05-28,526,53,0.5776,116,96,20,5,0.0,3.0,0.0,0.0
2021-05-29,343,41,0.6476,105,86,19,8,0.0,6.0,3.0,2720.0
2021-05-30,576,52,0.5442,147,125,22,17,0.0,8.0,2.0,1660.0
2021-05-31,417,60,0.4565,92,78,14,3,0.0,2.0,3.0,2061.0
2021-06-01,403,70,0.5556,81,47,34,4,0.0,3.0,3.0,2720.0
2021-06-03,139,49,0.7568,37,18,19,2,0.0,0.0,0.0,0.0
2021-06-04,190,53,0.6327,49,29,20,4,0.0,5.0,0.0,0.0
2021-06-05,211,41,0.614,57,37,20,6,0.0,0.0,0.0,0.0
2021-06-07,103,71,0.8571,42,26,16,0,0.0,0.0,0.0,0.0
2021-06-08,159,48,0.5909,44,23,21,7,0.0,2.0,0.0,0.0
2021-06-10,238,62,0.6613,62,34,28,4,0.0,2.0,0.0,0.0
2021-06-11,136,73,0.6512,43,25,18,4,0.0,0.0,0.0,0.0
2021-06-12,254,67,0.5439,57,40,17,7,0.0,0.0,0.0,0.0
2021-06-13,292,68,0.6667,60,33,27,4,0.0,0.0,0.0,0.0
2021-06-14,342,81,0.5652,69,46,23,10,0.0,2.0,0.0,0.0
2021-06-15,700,80,0.5431,116,83,33,14,0.0,2.0,6.0,5050.0
2021-06-17,550,72,0.5091,110,83,27,5,0.0,9.0,3.0,3180.0
2021-06-19,283,46,0.5915,71,47,24,9,0.0,3.0,0.0,0.0
2021-06-20,262,52,0.6615,65,48,17,2,0.0,0.0,0.0,0.0
2021-06-21,201,43,0.6042,48,29,19,4,0.0,2.0,0.0,0.0
