Date,Predicted_Sales
2023/5/1,7932
2023/5/2,8525
2023/5/3,2031
2023/5/4,3054
2023/5/5,5992
2023/5/6,15642
2023/5/7,9706
2023/5/8,7418
2023/5/9,11106
2023/5/10,12869
2023/5/11,6180
2023/5/12,4326
2023/5/13,8850
2023/5/14,12389
2023/5/15,16767
2023/5/16,12027
2023/5/17,699
2023/5/18,14266
2023/5/19,14346
2023/5/20,14968
2023/5/21,10457
2023/5/22,10380
2023/5/23,20434
2023/5/24,14498
2023/5/25,8720
2023/5/26,11683
2023/5/27,5078
2023/5/28,18718
2023/5/29,7858
2023/5/30,12030
2023/5/31,22094
2023/6/1,8526
2023/6/2,10593
2023/6/3,11165
2023/6/4,6838
2023/6/5,5997
2023/6/6,8193
2023/6/7,14660
2023/6/8,20565
2023/6/9,18613
2023/6/10,20567
2023/6/11,7797
2023/6/12,8140
2023/6/13,6043
2023/6/14,33796
2023/6/15,7165
2023/6/16,20842
2023/6/17,14495
2023/6/18,15736
2023/6/19,20011
2023/6/20,10293
2023/6/21,15630
2023/6/22,8873
2023/6/23,9231
2023/6/24,11549
2023/6/25,6111
2023/6/26,11660
2023/6/27,13170
2023/6/28,26649
2023/6/29,8002
2023/6/30,8928
2023/7/1,13010
2023/7/2,3501
2023/7/3,14900
2023/7/4,7093
2023/7/5,7713
2023/7/6,17618
2023/7/7,6768
2023/7/8,8651
2023/7/9,7396
2023/7/10,5792
2023/7/11,8989
2023/7/12,5717
2023/7/13,4179
2023/7/14,10023
2023/7/15,23133
2023/7/16,3057
2023/7/17,1339
2023/7/18,12769
2023/7/19,6591
2023/7/20,5611
2023/7/21,5224
2023/7/22,9801
2023/7/23,9391
2023/7/24,12563
2023/7/25,15109
2023/7/26,7672
2023/7/27,9490
2023/7/28,8337
2023/7/29,13118
